2026-07-08 06:38:46 status unpacked gpgsm:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:46 install gnupg:all <none> 2.2.40-1.1+deb12u2
2026-07-08 06:38:46 status half-installed gnupg:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:46 status unpacked gnupg:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:46 install libgpm2:amd64 <none> 1.20.7-10+b1
2026-07-08 06:38:46 status half-installed libgpm2:amd64 1.20.7-10+b1
2026-07-08 06:38:46 status unpacked libgpm2:amd64 1.20.7-10+b1
2026-07-08 06:38:46 install libldap-common:all <none> 2.5.13+dfsg-5
2026-07-08 06:38:46 status half-installed libldap-common:all 2.5.13+dfsg-5
2026-07-08 06:38:46 status unpacked libldap-common:all 2.5.13+dfsg-5
2026-07-08 06:38:46 install libsasl2-modules:amd64 <none> 2.1.28+dfsg-10
2026-07-08 06:38:46 status half-installed libsasl2-modules:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 status unpacked libsasl2-modules:amd64 2.1.28+dfsg-10
2026-07-08 06:38:46 install publicsuffix:all <none> 20230209.2326-1
2026-07-08 06:38:46 status half-installed publicsuffix:all 20230209.2326-1
2026-07-08 06:38:46 status unpacked publicsuffix:all 20230209.2326-1
2026-07-08 06:38:46 startup packages configure
2026-07-08 06:38:46 configure libksba8:amd64 1.6.3-2 <none>
2026-07-08 06:38:46 status unpacked libksba8:amd64 1.6.3-2
2026-07-08 06:38:46 status half-configured libksba8:amd64 1.6.3-2
2026-07-08 06:38:46 status installed libksba8:amd64 1.6.3-2
2026-07-08 06:38:46 configure libpsl5:amd64 0.21.2-1 <none>
2026-07-08 06:38:46 status unpacked libpsl5:amd64 0.21.2-1
2026-07-08 06:38:46 status half-configured libpsl5:amd64 0.21.2-1
2026-07-08 06:38:46 status installed libpsl5:amd64 0.21.2-1
2026-07-08 06:38:46 configure libgpm2:amd64 1.20.7-10+b1 <none>
2026-07-08 06:38:46 status unpacked libgpm2:amd64 1.20.7-10+b1
2026-07-08 06:38:46 status half-configured libgpm2:amd64 1.20.7-10+b1
2026-07-08 06:38:46 status installed libgpm2:amd64 1.20.7-10+b1
2026-07-08 06:38:46 configure wget:amd64 1.21.3-1+deb12u1 <none>
2026-07-08 06:38:46 status unpacked wget:amd64 1.21.3-1+deb12u1
2026-07-08 06:38:46 status half-configured wget:amd64 1.21.3-1+deb12u1
2026-07-08 06:38:46 status installed wget:amd64 1.21.3-1+deb12u1
2026-07-08 06:38:46 configure apt-transport-https:all 2.6.1 <none>
2026-07-08 06:38:46 status unpacked apt-transport-https:all 2.6.1
2026-07-08 06:38:46 status half-configured apt-transport-https:all 2.6.1
2026-07-08 06:38:46 status installed apt-transport-https:all 2.6.1
2026-07-08 06:38:46 configure libsqlite3-0:amd64 3.40.1-2+deb12u2 <none>
2026-07-08 06:38:46 status unpacked libsqlite3-0:amd64 3.40.1-2+deb12u2
